Player,Market,Line,Side,Odds,OppOdds,Book
Clay Holmes,Strikeouts thrown,4.5,over,+108,-138,FanDuel
Clay Holmes,Strikeouts thrown,4.5,under,-138,+108,FanDuel
Jacob deGrom,Strikeouts thrown,6.5,over,-104,-122,FanDuel
Jacob deGrom,Strikeouts thrown,6.5,under,-122,-104,FanDuel
Robert Gasser,Strikeouts thrown,4.5,over,-160,+124,FanDuel
Robert Gasser,Strikeouts thrown,4.5,under,+124,-160,FanDuel
Michael McGreevy,Strikeouts thrown,3.5,over,-115,-113,FanDuel
Michael McGreevy,Strikeouts thrown,3.5,under,-113,-115,FanDuel
Sean Burke,Strikeouts thrown,5.5,over,-180,+140,FanDuel
Sean Burke,Strikeouts thrown,5.5,under,+140,-180,FanDuel
Tomoyuki Sugano,Strikeouts thrown,3.5,over,-118,-108,FanDuel
Tomoyuki Sugano,Strikeouts thrown,3.5,under,-108,-118,FanDuel
Tarik Skubal,Strikeouts thrown,7.5,over,+108,-138,FanDuel
Tarik Skubal,Strikeouts thrown,7.5,under,-138,+108,FanDuel
Gavin Williams,Strikeouts thrown,6.5,over,-132,+104,FanDuel
Gavin Williams,Strikeouts thrown,6.5,under,+104,-132,FanDuel
Noah Cameron,Strikeouts thrown,4.5,over,+126,-162,FanDuel
Noah Cameron,Strikeouts thrown,4.5,under,-162,+126,FanDuel
Jackson Jobe,Strikeouts thrown,5.5,over,+122,-156,FanDuel
Jackson Jobe,Strikeouts thrown,5.5,under,-156,+122,FanDuel
Reid Detmers,Strikeouts thrown,6.5,over,-138,+108,FanDuel
Reid Detmers,Strikeouts thrown,6.5,under,+108,-138,FanDuel
Bryce Miller,Strikeouts thrown,6.5,over,+120,-154,FanDuel
Bryce Miller,Strikeouts thrown,6.5,under,-154,+120,FanDuel
Cristopher Sánchez,Strikeouts thrown,5.5,over,-150,+118,FanDuel
Cristopher Sánchez,Strikeouts thrown,5.5,under,+118,-150,FanDuel
Freddy Peralta,Strikeouts thrown,4.5,over,+124,-158,FanDuel
Freddy Peralta,Strikeouts thrown,4.5,under,-158,+124,FanDuel
Tomoyuki Sugano,Hits allowed,4.5,over,-162,,DraftKings
Sean Burke,Hits allowed,3.5,over,-152,,DraftKings
Michael McGreevy,Hits allowed,4.5,over,-156,,DraftKings
Cristopher Sánchez,Hits allowed,5.5,under,-133,,DraftKings
Tarik Skubal,Strikeouts thrown,7.5,under,-135,,DraftKings
Jacob deGrom,Strikeouts thrown,6.5,under,-122,,FanDuel
Jacob Lopez,Strikeouts thrown,4.5,over,-128,,FanDuel
Gavin Williams,Walks allowed,1.5,over,-128,,DraftKings
Sal Frelick,Hits,0.5,over,-163,,DraftKings
Brandon Pfaadt,Strikeouts thrown,3.5,over,-125,,Fanatics
Shohei Ohtani,Total bases,1.5,over,-105,,BetMGM
Kyle Tucker,Total bases,1.5,over,+150,,BetMGM
Freddie Freeman,Total bases,1.5,over,+115,,BetMGM
Corbin Carroll,RBIs,0.5,over,+210,,BetMGM
Manny Machado,RBIs,0.5,over,+189,,DraftKings
